timestep,agent_name,actor_type,actor_id,recommendation_id,consumer_id,offer_id,bank_id,product_id,recommendation_reason,visibility,reasoning_summary,action_sequence,intra_timestep_sequence,action_id,depends_on_action_id,source_snapshot_timestep,committed_timestep,validation_status,validation_errors,repair_notes,raw_row_json
4,marketplace_agent,marketplace,loan_marketplace,4_marketplace_agent_loan_marketplace_1,,O003,B004,O003,"DKB's Green Energy Loan offers the lowest effective interest rate at 2.75% APR, making it the top choice for financing sustainable projects.",public,,1,1,marketplace-ranking-4,,3,4,,,,
4,marketplace_agent,marketplace,loan_marketplace,4_marketplace_agent_loan_marketplace_1,,O004,B004,O004,"With an effective APR of 3.25%, DKB provides the most competitive rate for personal loans in the current market.",public,,1,1,marketplace-ranking-4_2,,3,4,,,,
4,marketplace_agent,marketplace,loan_marketplace,4_marketplace_agent_loan_marketplace_1,,O005,B004,O005,"For car financing, DKB leads with the lowest effective APR of 2.95%, making it the most affordable option.",public,,1,1,marketplace-ranking-4_3,,3,4,,,,
4,marketplace_agent,marketplace,loan_marketplace,4_marketplace_agent_loan_marketplace_1,,B003_offer_4,B003,B003_offer_4,"ING's Green Energy Loan is a strong contender with a very low 3.1% effective APR and a high relationship discount, making it a great value proposition.",public,,1,1,marketplace-ranking-4_4,,3,4,,,,
6,marketplace_agent,marketplace,loan_marketplace,6_marketplace_agent_loan_marketplace_1,,O006,B004,P003,"Top Pick for Green Energy: DKB's Green Energy Loan leads the market with the lowest effective APR of 2.70%, making it the most affordable option for eco-friendly projects.",public,,1,1,marketplace-recommendations-6-1,,5,6,,,,
6,marketplace_agent,marketplace,loan_marketplace,6_marketplace_agent_loan_marketplace_1,,O008,B004,P002,"Best Value Car Loan: With an effective APR of 2.90%, DKB's Car Loan is the top-ranked choice, offering the best rate for financing a vehicle.",public,,1,1,marketplace-recommendations-6-2,,5,6,,,,
6,marketplace_agent,marketplace,loan_marketplace,6_marketplace_agent_loan_marketplace_1,,O007,B004,P001,"Market-Leading Personal Loan: DKB offers the best rate for Personal Loans with an effective APR of 3.20%, securing its position as the number one choice for personal financing.",public,,1,1,marketplace-recommendations-6-3,,5,6,,,,
6,marketplace_agent,marketplace,loan_marketplace,6_marketplace_agent_loan_marketplace_1,,B003_offer_7,B003,green_energy_loan,"Excellent Alternative for Green Loans: ING's Green Energy Loan is a strong runner-up, offering a very competitive effective APR of 3.00%.",public,,1,1,marketplace-recommendations-6-4,,5,6,,,,
7,marketplace_agent,marketplace,loan_marketplace,7_marketplace_agent_loan_marketplace_1,,O009,B004,P003,Market Leader with an exceptional 2.60% APR.,public,,1,1,marketplace_recommendation_7_1,,6,7,,,,
7,marketplace_agent,marketplace,loan_marketplace,7_marketplace_agent_loan_marketplace_1,,B003_offer_10,B003,green_energy_loan,A strong competitor with a very competitive 2.80% APR.,public,,1,1,marketplace_recommendation_7_2,,6,7,,,,
7,marketplace_agent,marketplace,loan_marketplace,7_marketplace_agent_loan_marketplace_1,,B003_offer_11,B003,car_loan,"Market Leader, offering an outstanding 2.90% APR.",public,,1,1,marketplace_recommendation_7_3,,6,7,,,,
7,marketplace_agent,marketplace,loan_marketplace,7_marketplace_agent_loan_marketplace_1,,O008,B004,P002,"Market Leader, offering an outstanding 2.90% APR.",public,,1,1,marketplace_recommendation_7_4,,6,7,,,,
7,marketplace_agent,marketplace,loan_marketplace,7_marketplace_agent_loan_marketplace_1,,O007,B004,P001,"The clear market leader, offering an unbeatable 3.20% APR.",public,,1,1,marketplace_recommendation_7_5,,6,7,,,,
7,marketplace_agent,marketplace,loan_marketplace,7_marketplace_agent_loan_marketplace_1,,B003_offer_9,B003,personal_loan,A great alternative with a low 3.30% APR.,public,,1,1,marketplace_recommendation_7_6,,6,7,,,,
