timestep,agent_name,actor_type,actor_id,bank_id,bank_name,base_reputation_score,current_reputation_score,reputation_source,reputation_notes,action_type,action_detail,visibility,reasoning_summary,action_sequence,intra_timestep_sequence,action_id,depends_on_action_id,source_snapshot_timestep,committed_timestep,validation_status,validation_errors,repair_notes,raw_row_json,advisor_callback_enabled,preapproved_offer_enabled,documentation_friction_score,counter_offer_enabled,average_approval_time_days,relationship_discount_bps,digital_friction_score,comparison_portal_optimised,instant_document_validation_enabled,abandoned_application_followup_enabled,parameters
1,bank_agent,bank,B004,B004,,,,,,wait,,private,,1,1,B004-1-A1,,0,1,,,,,,,,,,,,,,,"{'action_description': 'Initial action: wait and observe the market.', 'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_description"": ""Initial action: wait and observe the market."", ""action_id"": ""B004-1-A1"", ""action_sequence"": 1, ""action_type"": ""wait"", ""actor_id"": ""B004"", ""actor_type"": ""bank"", ""bank_id"": ""B004"", ""timestep"": 1, ""visibility"": ""private""}'}"
1,bank_agent,bank,B002,B002,,,,,,service_announcement,Commerzbank is now offering financial products.,public,,1,1,B002-A001,,0,1,,,,,,,,,,,,,,,"{'headline': 'Commerzbank enters the market', 'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_id"": ""B002-A001"", ""action_sequence"": 1, ""action_type"": ""service_announcement"", ""actor_id"": ""B002"", ""actor_type"": ""bank"", ""bank_id"": ""B002"", ""description"": ""Commerzbank is now offering financial products."", ""headline"": ""Commerzbank enters the market"", ""timestep"": 1, ""visibility"": ""public""}'}"
1,bank_agent,bank,B003,B003,,,,,,CREATE_OFFER,"""Initial suite of loan products.""",private,,1,1,B003_A001,,0,1,,,,,,,,,,,,,,,"{'validation_status': 'repaired', 'validation_errors': None, 'repair_notes': 'action_details -> action_detail', 'raw_row_json': '{""action_details"": ""Initial suite of loan products."", ""action_id"": ""B003_A001"", ""action_sequence"": 1, ""action_type"": ""CREATE_OFFER"", ""actor_id"": ""B003"", ""actor_type"": ""bank"", ""bank_id"": ""B003"", ""timestep"": 1, ""visibility"": ""private""}'}"
1,bank_agent,bank,B005,B005,,,,,,strategic_announcement,,public,,1,1,B005_1_1,,0,1,,,,,,,,,,,,,,,"{'action_description': 'Sparkasse is entering the German market with a focus on providing competitive and transparent personal loans to establish a strong initial customer base.', 'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_description"": ""Sparkasse is entering the German market with a focus on providing competitive and transparent personal loans to establish a strong initial customer base."", ""action_id"": ""B005_1_1"", ""action_sequence"": 1, ""action_type"": ""strategic_announcement"", ""actor_id"": ""B005"", ""actor_type"": ""bank"", ""bank_id"": ""B005"", ""timestep"": 1, ""visibility"": ""public""}'}"
1,bank_agent,bank,B008,B008,,,,,,initial_strategy,"""Establish a baseline presence in the market with two competitive personal loan products and a general marketing campaign.""",private,,1,1,B008-1-A-1,,0,1,,,,,,,,,,,,,,,"{'validation_status': 'repaired', 'validation_errors': None, 'repair_notes': 'action_details -> action_detail', 'raw_row_json': '{""action_details"": ""Establish a baseline presence in the market with two competitive personal loan products and a general marketing campaign."", ""action_id"": ""B008-1-A-1"", ""action_sequence"": 1, ""action_type"": ""initial_strategy"", ""actor_id"": ""B008"", ""actor_type"": ""bank"", ""bank_id"": ""B008"", ""timestep"": 1, ""visibility"": ""private""}'}"
1,bank_agent,bank,B001,B001,,,,,,new_product_launch,,private,,3,3,B001-A3,,0,1,,,,,,,,,,,,,,,"{'action_description': 'Launching a new range of personal loan products to establish a market presence.', 'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_description"": ""Launching a new range of personal loan products to establish a market presence."", ""action_id"": ""B001-A3"", ""action_sequence"": 3, ""action_type"": ""new_product_launch"", ""actor_id"": ""B001"", ""actor_type"": ""bank"", ""bank_id"": ""B001"", ""timestep"": 1, ""visibility"": ""private""}'}"
2,bank_agent,bank,B004,B004,,,,,,update_bank_parameters,,private,,1,1,B004-2-A1,,1,2,,,,,,,0.3,,1.0,50.0,0.2,True,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_id"": ""B004-2-A1"", ""action_sequence"": 1, ""action_type"": ""update_bank_parameters"", ""actor_id"": ""B004"", ""actor_type"": ""bank"", ""average_approval_time_days"": 1, ""bank_id"": ""B004"", ""comparison_portal_optimised"": true, ""digital_friction_score"": 0.2, ""documentation_friction_score"": 0.3, ""relationship_discount_bps"": 50, ""timestep"": 2, ""visibility"": ""private""}'}"
2,bank_agent,bank,B007,B007,,,,,,monitor_market,"""Monitor competitor and customer response to new personal loan offer and marketing.""",private,,1,1,bank_actions-2-B007-1,,1,2,,,,,,,,,,,,,,,"{'validation_status': 'repaired', 'validation_errors': None, 'repair_notes': 'action_details -> action_detail', 'raw_row_json': '{""action_details"": ""Monitor competitor and customer response to new personal loan offer and marketing."", ""action_id"": ""bank_actions-2-B007-1"", ""action_sequence"": 1, ""action_type"": ""monitor_market"", ""actor_id"": ""B007"", ""actor_type"": ""bank"", ""bank_id"": ""B007"", ""timestep"": 2, ""visibility"": ""private""}'}"
2,bank_agent,bank,B003,B003,,,,,,CHANGE_OFFER,Lowering the interest rate on our personal loan to remain competitive in a market with new entrants.,private,,1,1,B003_A002,,1,2,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_detail"": ""Lowering the interest rate on our personal loan to remain competitive in a market with new entrants."", ""action_id"": ""B003_A002"", ""action_sequence"": 1, ""action_type"": ""CHANGE_OFFER"", ""actor_id"": ""B003"", ""actor_type"": ""bank"", ""bank_id"": ""B003"", ""timestep"": 2, ""visibility"": ""private""}'}"
2,bank_agent,bank,B003,B003,,,,,,CREATE_MARKETING_CAMPAIGN,Launch a targeted marketing campaign for the updated personal loan to attract young professionals.,private,,2,2,B003_A003,,1,2,,,,,,,,,,,,,,,"{'validation_status': 'valid', 'validation_errors': None, 'repair_notes': None, 'raw_row_json': '{""action_detail"": ""Launch a targeted marketing campaign for the updated personal loan to attract young professionals."", ""action_id"": ""B003_A003"", ""action_sequence"": 2, ""action_type"": ""CREATE_MARKETING_CAMPAIGN"", ""actor_id"": ""B003"", ""actor_type"": ""bank"", ""bank_id"": ""B003"", ""timestep"": 2, ""visibility"": ""private""}'}"
